"action","authority","title","publisher","publishing_line","start_year","record_id"
"ADD SERIES","Nameless","Nameless","Image","Image Central","","IMS-0303"
"ADD AUTHORITY","Napalm Lullaby","","Image","Image Central","","IMA-0321"
"ADD SERIES","Napalm Lullaby","Napalm Lullaby","Image","Image Central","","IMS-0304"
"ADD AUTHORITY","NARCO","","Image","Image Central","","IMA-0322"
"ADD SERIES","NARCO","NARCO","Image","Image Central","","IMS-0305"
"ADD SERIES","Nemesis","Nemesis","Image","Millarworld","","IMS-0306"
"ADD AUTHORITY","New Masters","","Image","Image Central","","IMA-0323"
"ADD SERIES","New Masters","New Masters","Image","Image Central","","IMS-0307"
"ADD AUTHORITY","Newburn","","Image","Image Central","","IMA-0324"
"ADD SERIES","Newburn","Newburn","Image","Image Central","","IMS-0308"
"ADD AUTHORITY","News From The Fallout","","Image","Image Central","","IMA-0325"
"ADD SERIES","News From The Fallout","News From The Fallout","Image","Image Central","","IMS-0309"
"ADD AUTHORITY","Next Issue Project","","Image","Image Central","","IMA-0326"
"ADD SERIES","Next Issue Project","Next Issue Project","Image","Image Central","","IMS-0310"
"ADD AUTHORITY","NIGHT CLUB","","Image","Millarworld","","IMA-0327"
"ADD SERIES","NIGHT CLUB","NIGHT CLUB","Image","Millarworld","","IMS-0311"
"ADD AUTHORITY","Night Fever","","Image","Image Central","","IMA-0328"
"ADD SERIES","Night Fever","Night Fever","Image","Image Central","","IMS-0312"
"ADD AUTHORITY","Night Mary","","Image","Image Central","","IMA-0329"
"ADD SERIES","Night Mary","Night Mary","Image","Image Central","","IMS-0313"
"ADD AUTHORITY","Nights","","Image","Image Central","","IMA-0330"
"ADD SERIES","Nights","NIGHTS","Image","Image Central","","IMS-0314"
"ADD AUTHORITY","Nita Hawes' Nightmare Blog","","Image","Image Central","","IMA-0331"
"ADD SERIES","Nita Hawes' Nightmare Blog","Nita Hawes' Nightmare Blog","Image","Image Central","","IMS-0315"
"ADD AUTHORITY","Nixon's Pals","","Image","Image Central","","IMA-0332"
"ADD SERIES","Nixon's Pals","Nixon's Pals","Image","Image Central","","IMS-0316"
"ADD AUTHORITY","No/One","","Image","Massive-Verse","","IMA-0333"
"ADD SERIES","No/One","No/One","Image","Massive-Verse","","IMS-0317"
"ADD AUTHORITY","Nocterra","","Image","Image Central","","IMA-0334"
"REPAIR SERIES","Nocterra","Nocterra","Image","Image Central","","SER-01152"
"ADD AUTHORITY","Normalman","","Image","Image Central","","IMA-0335"
"ADD SERIES","Normalman","Normalman","Image","Image Central","","IMS-0318"
"ADD AUTHORITY","not my bag","","Image","Image Central","","IMA-0336"
"ADD SERIES","not my bag","not my bag","Image","Image Central","","IMS-0319"
"ADD AUTHORITY","Nothing Lasts Forever","","Image","Image Central","","IMA-0337"
"ADD SERIES","Nothing Lasts Forever","Nothing Lasts Forever","Image","Image Central","","IMS-0320"
"ADD AUTHORITY","November","","Image","Image Central","","IMA-0338"
"ADD SERIES","November","November","Image","Image Central","","IMS-0321"
"REPAIR SERIES","Nowhere Men","Nowhere Men","Image","Image Central","","SER-00548"
"ADD AUTHORITY","Oblivion Song","","Image","Skybound","","IMA-0339"
"REPAIR SERIES","Oblivion Song","Oblivion Song","Image","Skybound","","SER-01153"
"ADD AUTHORITY","Octopus Pie","","Image","Image Central","","IMA-0340"
"ADD SERIES","Octopus Pie","Octopus Pie","Image","Image Central","","IMS-0322"
"ADD AUTHORITY","Oddly Normal","","Image","Image Central","","IMA-0341"
"ADD SERIES","Oddly Normal","Oddly Normal","Image","Image Central","","IMS-0323"
"REPAIR SERIES","ODY-C","ODY-C","Image","Image Central","","SER-00549"
"ADD AUTHORITY","Old Dog","","Image","Image Central","","IMA-0342"
"ADD SERIES","Old Dog","Old Dog","Image","Image Central","","IMS-0324"
"ADD AUTHORITY","Old Head OGN","","Image","Image Central","","IMA-0343"
"ADD SERIES","Old Head OGN","Old Head OGN","Image","Image Central","","IMS-0325"
"ADD AUTHORITY","Olympia","","Image","Image Central","","IMA-0344"
"ADD SERIES","Olympia","Olympia","Image","Image Central","","IMS-0326"
"ADD AUTHORITY","One Week In The Library","","Image","Image Central","","IMA-0345"
"ADD SERIES","One Week In The Library","One Week In The Library","Image","Image Central","","IMS-0327"
"ADD AUTHORITY","Onyx","","Image","Image Central","","IMA-0346"
"ADD SERIES","Onyx","Onyx","Image","Image Central","","IMS-0328"
"ADD AUTHORITY","Ophiuchus","","Image","Image Central","","IMA-0347"
"ADD SERIES","Ophiuchus","Ophiuchus","Image","Image Central","","IMS-0329"
"ADD AUTHORITY","Ordinary Gods","","Image","Image Central","","IMA-0348"
"ADD SERIES","Ordinary Gods","Ordinary Gods","Image","Image Central","","IMS-0330"
"ADD AUTHORITY","Our Bones Dust","","Image","Image Central","","IMA-0349"
"ADD SERIES","Our Bones Dust","Our Bones Dust","Image","Image Central","","IMS-0331"
"ADD AUTHORITY","Outcast by Kirkman & Azaceta","","Image","Skybound","","IMA-0350"
"ADD SERIES","Outcast by Kirkman & Azaceta","Outcast by Kirkman & Azaceta","Image","Skybound","","IMS-0332"
"ADD AUTHORITY","Outer Darkness","","Image","Skybound","","IMA-0351"
"ADD SERIES","Outer Darkness","Outer Darkness","Image","Skybound","","IMS-0333"
"ADD AUTHORITY","Outpost Zero","","Image","Skybound","","IMA-0352"
"ADD SERIES","Outpost Zero","Outpost Zero","Image","Skybound","","IMS-0334"
"ADD AUTHORITY","Paklis","","Image","Image Central","","IMA-0353"
"ADD SERIES","Paklis","Paklis","Image","Image Central","","IMS-0335"
"REPAIR SERIES","Paper Girls","Paper Girls","Image","Image Central","","SER-00556"
"ADD AUTHORITY","Paradox Girl","","Image","Image Central","","IMA-0354"
"ADD SERIES","Paradox Girl","Paradox Girl","Image","Image Central","","IMS-0336"
"ADD AUTHORITY","Paris","","Image","Image Central","","IMA-0355"
"ADD SERIES","Paris","Paris","Image","Image Central","","IMS-0337"
"ADD AUTHORITY","Paul Is Dead","","Image","Image Central","","IMA-0356"
"ADD SERIES","Paul Is Dead","Paul Is Dead","Image","Image Central","","IMS-0338"
"ADD AUTHORITY","Pax Romana","","Image","Image Central","","IMA-0357"
"ADD SERIES","Pax Romana","Pax Romana","Image","Image Central","","IMS-0339"
"ADD AUTHORITY","Peter Panzerfaust","","Image","Shadowline","","IMA-0358"
"ADD SERIES","Peter Panzerfaust","Peter Panzerfaust","Image","Shadowline","","IMS-0340"
"ADD AUTHORITY","Petrol Head","","Image","Image Central","","IMA-0359"
"ADD SERIES","Petrol Head","Petrol Head","Image","Image Central","","IMS-0341"
"ADD AUTHORITY","Phantom Road","","Image","Image Central","","IMA-0360"
"ADD SERIES","Phantom Road","Phantom Road","Image","Image Central","","IMS-0342"
"ADD AUTHORITY","PhenomX","","Image","Image Central","","IMA-0361"
"ADD SERIES","PhenomX","PhenomX","Image","Image Central","","IMS-0343"
"ADD AUTHORITY","Phonogram","","Image","Image Central","","IMA-0362"
"ADD SERIES","Phonogram","Phonogram","Image","Image Central","","IMS-0344"
"ADD AUTHORITY","Pigs","","Image","Image Central","","IMA-0363"
"ADD SERIES","Pigs","Pigs","Image","Image Central","","IMS-0345"
"ADD AUTHORITY","Planet Paradise","","Image","Image Central","","IMA-0364"
"ADD SERIES","Planet Paradise","Planet Paradise","Image","Image Central","","IMS-0346"
"ADD AUTHORITY","Plastic","","Image","Image Central","","IMA-0365"
"ADD SERIES","Plastic","Plastic","Image","Image Central","","IMS-0347"
"ADD AUTHORITY","Plush","","Image","Image Central","","IMA-0366"
"ADD SERIES","Plush","Plush","Image","Image Central","","IMS-0348"
"ADD AUTHORITY","Plutona","","Image","Image Central","","IMA-0367"
"ADD SERIES","Plutona","Plutona","Image","Image Central","","IMS-0349"
"ADD AUTHORITY","Port of Earth","","Image","Image Central","","IMA-0368"
"ADD SERIES","Port of Earth","Port of Earth","Image","Image Central","","IMS-0350"
"ADD AUTHORITY","Post Americana","","Image","Image Central","","IMA-0369"
"ADD SERIES","Post Americana","Post Americana","Image","Image Central","","IMS-0351"
"ADD AUTHORITY","Postal","","Image","Top Cow Productions","","IMA-0370"
"REPAIR SERIES","Postal","Postal","Image","Top Cow Productions","","SER-01154"
"ADD AUTHORITY","Precious Metal","","Image","Image Central","","IMA-0371"
"ADD SERIES","Precious Metal","Precious Metal","Image","Image Central","","IMS-0352"
"ADD AUTHORITY","Pretty Deadly","","Image","Image Central","","IMA-0372"
"REPAIR SERIES","Pretty Deadly","Pretty Deadly","Image","Image Central","","SER-01155"
"ADD AUTHORITY","Pride & Joy","","Image","Image Central","","IMA-0373"
"ADD SERIES","Pride & Joy","Pride & Joy","Image","Image Central","","IMS-0353"
"ADD AUTHORITY","PRIDE OF BAGHDAD","","Image","Image Central","","IMA-0374"
"ADD SERIES","PRIDE OF BAGHDAD","PRIDE OF BAGHDAD","Image","Image Central","","IMS-0354"
"ADD AUTHORITY","Primordial","","Image","Image Central","","IMA-0375"
"ADD SERIES","Primordial","Primordial","Image","Image Central","","IMS-0355"
"ADD AUTHORITY","Prince of Cats","","Image","Image Central","","IMA-0376"
"ADD SERIES","Prince of Cats","Prince of Cats","Image","Image Central","","IMS-0356"
"ADD AUTHORITY","Prodigy","","Image","Millarworld","","IMA-0377"
"ADD SERIES","Prodigy","Prodigy","Image","Millarworld","","IMS-0357"
"ADD AUTHORITY","Progeny","","Image","Top Cow Productions","","IMA-0378"
"ADD SERIES","Progeny","Progeny","Image","Top Cow Productions","","IMS-0358"
"REPAIR SERIES","Prophet","Prophet","Image","Extreme Studios / Awesome Comics","","SER-00580"
"ADD AUTHORITY","Public Domain","","Image","Image Central","","IMA-0379"
"ADD SERIES","Public Domain","Public Domain","Image","Image Central","","IMS-0359"
"ADD AUTHORITY","Pulp","","Image","Image Central","","IMA-0380"
"ADD SERIES","Pulp","Pulp","Image","Image Central","","IMS-0360"
"ADD AUTHORITY","Punderworld","","Image","Image Central","","IMA-0381"
"ADD SERIES","Punderworld","Punderworld","Image","Image Central","","IMS-0361"
"ADD AUTHORITY","PURR EVIL","","Image","Image Central","","IMA-0382"
"ADD SERIES","PURR EVIL","PURR EVIL","Image","Image Central","","IMS-0362"
"REPAIR SERIES","Radiant Black","Radiant Black","Image","Massive-Verse","","SER-00589"
"ADD SERIES","Radiant Black","Radiant Black: The Story So Far","Image","Massive-Verse","","IMS-0363"
"ADD AUTHORITY","Radiant Pink","","Image","Massive-Verse","","IMA-0383"
"REPAIR SERIES","Radiant Pink","Radiant Pink","Image","Massive-Verse","","SER-01181"
"ADD AUTHORITY","Radiant Red","","Image","Massive-Verse","","IMA-0384"
"REPAIR SERIES","Radiant Red","Radiant Red","Image","Massive-Verse","","SER-01180"
"ADD AUTHORITY","Rain","","Image","Image Central","","IMA-0385"
"ADD SERIES","Rain","Rain","Image","Image Central","","IMS-0364"
"ADD AUTHORITY","Rain Like Hammers","","Image","Image Central","","IMA-0386"
"ADD SERIES","Rain Like Hammers","Rain Like Hammers","Image","Image Central","","IMS-0365"
"ADD SERIES","Spawn","Rat City","Image","Todd McFarlane Productions / Spawn Universe","","IMS-0366"
"REPAIR SERIES","Rat Queens","Rat Queens","Image","Shadowline","","SER-00592"
"ADD AUTHORITY","Ravine","","Image","Top Cow Productions","","IMA-0387"
"ADD SERIES","Ravine","Ravine","Image","Top Cow Productions","","IMS-0367"
"ADD AUTHORITY","Razorblades","","Image","Image Central","","IMA-0388"
"ADD SERIES","Razorblades","Razorblades","Image","Image Central","","IMS-0368"
"ADD AUTHORITY","Reality Check","","Image","Image Central","","IMA-0389"
"ADD SERIES","Reality Check","Reality Check","Image","Image Central","","IMS-0369"
"ADD AUTHORITY","Reaver","","Image","Skybound","","IMA-0390"
"ADD SERIES","Reaver","Reaver","Image","Skybound","","IMS-0370"
"ADD AUTHORITY","Reborn","","Image","Millarworld","","IMA-0391"
"ADD SERIES","Reborn","Reborn","Image","Millarworld","","IMS-0371"
"ADD AUTHORITY","Reckless","","Image","Image Central","","IMA-0392"
"ADD SERIES","Reckless","Reckless","Image","Image Central","","IMS-0372"
"ADD AUTHORITY","RED ROOTS","","Image","Image Central","","IMA-0393"
"ADD SERIES","RED ROOTS","RED ROOTS","Image","Image Central","","IMS-0373"
"ADD AUTHORITY","Redcoat","","Image","Ghost Machine","","IMA-0394"
"REPAIR SERIES","Redcoat","Redcoat","Image","Ghost Machine","","SER-01184"
"ADD AUTHORITY","Redlands","","Image","Image Central","","IMA-0395"
"ADD SERIES","Redlands","Redlands","Image","Image Central","","IMS-0374"
"REPAIR SERIES","Redneck","Redneck","Image","Skybound","","SER-00599"
"ADD AUTHORITY","REGICIDE","","Image","Image Central","","IMA-0396"
"ADD SERIES","REGICIDE","REGICIDE","Image","Image Central","","IMS-0375"
"ADD AUTHORITY","Remote Space","","Image","Image Central","","IMA-0397"
"ADD SERIES","Remote Space","Remote Space","Image","Image Central","","IMS-0376"
"ADD AUTHORITY","Revival","","Image","Image Central","","IMA-0398"
"REPAIR SERIES","Revival","Revival","Image","Image Central","","SER-01156"
"ADD AUTHORITY","Revolvers","","Image","Image Central","","IMA-0399"
"ADD SERIES","Revolvers","Revolvers","Image","Image Central","","IMS-0377"
"ADD AUTHORITY","Rise of the Magi","","Image","Top Cow Productions","","IMA-0400"
"ADD SERIES","Rise of the Magi","Rise of the Magi","Image","Top Cow Productions","","IMS-0378"
"ADD AUTHORITY","Rock Bottom","","Image","Image Central","","IMA-0401"
"ADD SERIES","Rock Bottom","Rock Bottom","Image","Image Central","","IMS-0379"
"ADD AUTHORITY","Rock Candy Mountain","","Image","Image Central","","IMA-0402"
"ADD SERIES","Rock Candy Mountain","Rock Candy Mountain","Image","Image Central","","IMS-0380"
"ADD AUTHORITY","Rockstar and Softboy","","Image","Image Central","","IMA-0403"
"ADD SERIES","Rockstar and Softboy","Rockstar and Softboy","Image","Image Central","","IMS-0381"
"ADD AUTHORITY","Rogue Sun","","Image","Massive-Verse","","IMA-0404"
"REPAIR SERIES","Rogue Sun","Rogue Sun","Image","Massive-Verse","","SER-01157"
"ADD SERIES","Rogue Sun","Rogue Sun: The Story So Far","Image","Massive-Verse","","IMS-0382"
"ADD AUTHORITY","Romulus","","Image","Image Central","","IMA-0405"
"ADD SERIES","Romulus","Romulus","Image","Image Central","","IMS-0383"
"ADD AUTHORITY","Rook: Exodus","","Image","Ghost Machine","","IMA-0406"
"REPAIR SERIES","Rook: Exodus","Rook: Exodus","Image","Ghost Machine","","SER-01158"
"ADD AUTHORITY","Royal City","","Image","Image Central","","IMA-0407"
"ADD SERIES","Royal City","Royal City","Image","Image Central","","IMS-0384"
"ADD AUTHORITY","Royalboiler","","Image","Image Central","","IMA-0408"
"ADD SERIES","Royalboiler","Royalboiler","Image","Image Central","","IMS-0385"
"ADD AUTHORITY","Royals","","Image","Image Central","","IMA-0409"
"ADD SERIES","Royals","Royals","Image","Image Central","","IMS-0386"
"ADD SERIES","Rumble","Rumble","Image","Image Central","","IMS-0387"
"REPAIR SERIES","Saga","Saga","Image","Image Central","","SER-00633"
"ADD AUTHORITY","Saints","","Image","Image Central","","IMA-0410"
"ADD SERIES","Saints","Saints","Image","Image Central","","IMS-0388"
"ADD SERIES","Spawn","Sam & Twitch","Image","Todd McFarlane Productions / Spawn Universe","","IMS-0389"
"ADD AUTHORITY","Samaritan","","Image","Top Cow Productions","","IMA-0411"
"ADD SERIES","Samaritan","Samaritan","Image","Top Cow Productions","","IMS-0390"
"ADD AUTHORITY","Satellite Sam","","Image","Image Central","","IMA-0412"
"ADD SERIES","Satellite Sam","Satellite Sam","Image","Image Central","","IMS-0391"
"ADD SERIES","Saucer Country","saucer country","Image","Image Central","","IMS-0392"
"REPAIR SERIES","Savage Dragon","Savage Dragon","Image","Highbrow Entertainment","","SER-00639"
"ADD AUTHORITY","Savior","","Image","Image Central","","IMA-0413"
"ADD SERIES","Savior","Savior","Image","Image Central","","IMS-0393"
"ADD AUTHORITY","scene of the crime","","Image","Image Central","","IMA-0414"
"ADD SERIES","scene of the crime","scene of the crime","Image","Image Central","","IMS-0394"
"ADD AUTHORITY","Science Dog","","Image","Skybound","","IMA-0415"
"ADD SERIES","Science Dog","Science Dog","Image","Skybound","","IMS-0395"
"ADD AUTHORITY","Scotch McTiernan Holiday Party","","Image","Image Central","","IMA-0416"
"ADD SERIES","Scotch McTiernan Holiday Party","Scotch McTiernan Holiday Party","Image","Image Central","","IMS-0396"
"ADD AUTHORITY","Scud: The Disposable Assassin","","Image","Image Central","","IMA-0417"
"REPAIR SERIES","Scud: The Disposable Assassin","Scud: The Disposable Assassin","Image","Image Central","","SER-01159"
"ADD AUTHORITY","Scurry","","Image","Image Central","","IMA-0418"
"ADD SERIES","Scurry","Scurry","Image","Image Central","","IMS-0397"
"ADD AUTHORITY","Sea of Stars","","Image","Image Central","","IMA-0419"
"ADD SERIES","Sea of Stars","Sea of Stars","Image","Image Central","","IMS-0398"
"ADD AUTHORITY","Sea Serpents Heir","","Image","Skybound","","IMA-0420"
"ADD SERIES","Sea Serpents Heir","Sea Serpents Heir","Image","Skybound","","IMS-0399"
"ADD AUTHORITY","Secret","","Image","Image Central","","IMA-0421"
"ADD SERIES","Secret","Secret","Image","Image Central","","IMS-0400"
"ADD AUTHORITY","Section Zero","","Image","Gorilla Comics","","IMA-0422"
"ADD SERIES","Section Zero","Section Zero","Image","Gorilla Comics","","IMS-0401"
"ADD AUTHORITY","Self Help","","Image","Image Central","","IMA-0423"
"ADD SERIES","Self Help","Self Help","Image","Image Central","","IMS-0402"
"ADD AUTHORITY","Self/Made","","Image","Image Central","","IMA-0424"
"ADD SERIES","Self/Made","Self/Made","Image","Image Central","","IMS-0403"
"ADD AUTHORITY","September Mourning","","Image","Image Central","","IMA-0425"
"ADD SERIES","September Mourning","September Mourning","Image","Image Central","","IMS-0404"
"ADD AUTHORITY","Seven Sons","","Image","Image Central","","IMA-0426"
"ADD SERIES","Seven Sons","Seven Sons","Image","Image Central","","IMS-0405"
"ADD AUTHORITY","Seven to Eternity","","Image","Image Central","","IMA-0427"
"REPAIR SERIES","Seven to Eternity","Seven to Eternity","Image","Image Central","","SER-01160"
"ADD AUTHORITY","Severed","","Image","Image Central","","IMA-0428"
"ADD SERIES","Severed","Severed","Image","Image Central","","IMS-0406"
"ADD AUTHORITY","Sex","","Image","Image Central","","IMA-0429"
"ADD SERIES","Sex","Sex","Image","Image Central","","IMS-0407"
"REPAIR SERIES","Sex Criminals","Sex Criminals","Image","Image Central","","SER-00653"
"ADD AUTHORITY","Sexcastle","","Image","Image Central","","IMA-0430"
"ADD SERIES","Sexcastle","Sexcastle","Image","Image Central","","IMS-0408"
"ADD AUTHORITY","SFSX (Safe Sex)","","Image","Image Central","","IMA-0431"
"ADD SERIES","SFSX (Safe Sex)","SFSX (Safe Sex)","Image","Image Central","","IMS-0409"
"ADD AUTHORITY","Shadecraft","","Image","Image Central","","IMA-0432"
"ADD SERIES","Shadecraft","Shadecraft","Image","Image Central","","IMS-0410"
"REPAIR SERIES","Shadowhawk","Shadowhawk","Image","Shadowline","","SER-00658"
"ADD AUTHORITY","Sharkey The Bounty Hunter","","Image","Millarworld","","IMA-0433"
"ADD SERIES","Sharkey The Bounty Hunter","Sharkey The Bounty Hunter","Image","Millarworld","","IMS-0411"
"ADD AUTHORITY","Shift","","Image","Massive-Verse","","IMA-0434"
"ADD SERIES","Shift","Shift","Image","Massive-Verse","","IMS-0412"
"ADD AUTHORITY","Shirtless Bear-Fighter!","","Image","Image Central","","IMA-0435"
"ADD SERIES","Shirtless Bear-Fighter!","Shirtless Bear-Fighter!","Image","Image Central","","IMS-0413"
"ADD AUTHORITY","Shotgun Wedding","","Image","Image Central","","IMA-0436"
"ADD SERIES","Shotgun Wedding","Shotgun Wedding","Image","Image Central","","IMS-0414"
"ADD AUTHORITY","Shutter","","Image","Image Central","","IMA-0437"
"ADD SERIES","Shutter","Shutter","Image","Image Central","","IMS-0415"
"ADD AUTHORITY","Simon Says","","Image","Image Central","","IMA-0438"
"ADD SERIES","Simon Says","Simon Says","Image","Image Central","","IMS-0416"
"ADD AUTHORITY","Sins Of The Black Flamingo","","Image","Image Central","","IMA-0439"
"ADD SERIES","Sins Of The Black Flamingo","Sins Of The Black Flamingo","Image","Image Central","","IMS-0417"
"ADD SERIES","Hyde Street","Sisterhood A Hyde Street Story","Image","Ghost Machine","","IMS-0418"
"ADD AUTHORITY","Six Sidekicks of Trigger Keaton","","Image","Image Central","","IMA-0440"
"ADD SERIES","Six Sidekicks of Trigger Keaton","Six Sidekicks of Trigger Keaton","Image","Image Central","","IMS-0419"
"ADD AUTHORITY","Skybound Presents: Afterschool","","Image","Skybound","","IMA-0441"
"ADD SERIES","Skybound Presents: Afterschool","Skybound Presents: Afterschool","Image","Skybound","","IMS-0420"
"ADD AUTHORITY","Skybound X","","Image","Skybound","","IMA-0442"
"ADD SERIES","Skybound X","Skybound X","Image","Skybound","","IMS-0421"
"ADD AUTHORITY","Skyward","","Image","Image Central","","IMA-0443"
"REPAIR SERIES","Skyward","Skyward","Image","Image Central","","SER-01161"
"ADD AUTHORITY","Slots","","Image","Skybound","","IMA-0444"
"ADD SERIES","Slots","Slots","Image","Skybound","","IMS-0422"
"ADD AUTHORITY","Slumber","","Image","Image Central","","IMA-0445"
"ADD SERIES","Slumber","Slumber","Image","Image Central","","IMS-0423"
"ADD AUTHORITY","Snotgirl","","Image","Image Central","","IMA-0446"
"REPAIR SERIES","Snotgirl","Snotgirl","Image","Image Central","","SER-01162"
"ADD AUTHORITY","Soldier Stories","","Image","Image Central","","IMA-0447"
"ADD SERIES","Soldier Stories","Soldier Stories","Image","Image Central","","IMS-0424"
"ADD AUTHORITY","Something Epic","","Image","Image Central","","IMA-0448"
"ADD SERIES","Something Epic","Something Epic","Image","Image Central","","IMS-0425"
"ADD AUTHORITY","Son of Merlin","","Image","Top Cow Productions","","IMA-0449"
"ADD SERIES","Son of Merlin","Son of Merlin","Image","Top Cow Productions","","IMS-0426"
"ADD AUTHORITY","Son of Shaolin","","Image","Image Central","","IMA-0450"
"ADD SERIES","Son of Shaolin","Son of Shaolin","Image","Image Central","","IMS-0427"
"ADD AUTHORITY","Sonata","","Image","Image Central","","IMA-0451"
"ADD SERIES","Sonata","Sonata","Image","Image Central","","IMS-0428"
"REPAIR SERIES","Southern Bastards","Southern Bastards","Image","Image Central","","SER-00684"
"ADD AUTHORITY","Space Bandits","","Image","Millarworld","","IMA-0452"
"ADD SERIES","Space Bandits","Space Bandits","Image","Millarworld","","IMS-0429"
"REPAIR SERIES","Spawn","Spawn","Image","Todd McFarlane Productions / Spawn Universe","","SER-00689"
"ADD SERIES","Spawn","Spawn Manga","Image","Todd McFarlane Productions / Spawn Universe","","IMS-0430"
"ADD SERIES","Spawn","Spawn Origins","Image","Todd McFarlane Productions / Spawn Universe","","IMS-0431"
"ADD SERIES","Spawn","Spawn: The Dark Ages","Image","Todd McFarlane Productions / Spawn Universe","2025","IMS-0432"
"ADD SERIES","Spawn","Spawn: Unwanted Violence","Image","Todd McFarlane Productions / Spawn Universe","","IMS-0433"
"ADD AUTHORITY","Spectators","","Image","Image Central","","IMA-0453"
"ADD SERIES","Spectators","Spectators","Image","Image Central","","IMS-0434"
"ADD AUTHORITY","Splitting Image","","Image","Image Central","","IMA-0454"
"ADD SERIES","Splitting Image","Splitting Image","Image","Image Central","","IMS-0435"
"ADD AUTHORITY","Spread","","Image","Image Central","","IMA-0455"
"ADD SERIES","Spread","Spread","Image","Image Central","","IMS-0436"
"ADD AUTHORITY","St. Mercy","","Image","Top Cow Productions","","IMA-0456"
"ADD SERIES","St. Mercy","St. Mercy","Image","Top Cow Productions","","IMS-0437"
"ADD AUTHORITY","Stairway","","Image","Image Central","","IMA-0457"
"ADD SERIES","Stairway","Stairway","Image","Image Central","","IMS-0438"
"ADD AUTHORITY","Starhenge","","Image","Image Central","","IMA-0458"
"ADD SERIES","Starhenge","Starhenge","Image","Image Central","","IMS-0439"
"ADD AUTHORITY","Starlight","","Image","Millarworld","","IMA-0459"
"ADD SERIES","Starlight","Starlight","Image","Millarworld","","IMS-0440"
"ADD AUTHORITY","Starve","","Image","Image Central","","IMA-0460"
"ADD SERIES","Starve","Starve","Image","Image Central","","IMS-0441"
"ADD AUTHORITY","Stealth","","Image","Skybound","","IMA-0461"
"ADD SERIES","Stealth","Stealth","Image","Skybound","","IMS-0442"
"ADD AUTHORITY","Stellar","","Image","Skybound","","IMA-0462"
"ADD SERIES","Stellar","Stellar","Image","Skybound","","IMS-0443"
"ADD AUTHORITY","Step By Bloody Step","","Image","Image Central","","IMA-0463"
"ADD SERIES","Step By Bloody Step","Step By Bloody Step","Image","Image Central","","IMS-0444"
"ADD AUTHORITY","Stillwater","","Image","Skybound","","IMA-0464"
"ADD SERIES","Stillwater","Stillwater","Image","Skybound","","IMS-0445"
"ADD AUTHORITY","Strange Girl","","Image","Image Central","","IMA-0465"
"ADD SERIES","Strange Girl","Strange Girl","Image","Image Central","","IMS-0446"
"REPAIR SERIES","Stray Bullets","Stray Bullets","Image","Image Central","","SER-00747"
"ADD AUTHORITY","Stray Dogs","","Image","Image Central","","IMA-0466"
"REPAIR SERIES","Stray Dogs","Stray Dogs","Image","Image Central","","SER-01164"
"ADD AUTHORITY","Street Angel","","Image","Image Central","","IMA-0467"
"ADD SERIES","Street Angel","Street Angel","Image","Image Central","","IMS-0447"
"ADD AUTHORITY","stringer","","Image","Image Central","","IMA-0468"
"ADD SERIES","stringer","stringer","Image","Image Central","","IMS-0448"
"ADD AUTHORITY","Suburban Glamour","","Image","Image Central","","IMA-0469"
"ADD SERIES","Suburban Glamour","Suburban Glamour","Image","Image Central","","IMS-0449"
"ADD AUTHORITY","Sugar","","Image","Image Central","","IMA-0470"
"ADD SERIES","Sugar","Sugar","Image","Image Central","","IMS-0450"
"ADD AUTHORITY","Summoner's War","","Image","Image Central","","IMA-0471"
"ADD SERIES","Summoner's War","Summoner's War","Image","Image Central","","IMS-0451"
"ADD AUTHORITY","Sunburn","","Image","Image Central","","IMA-0472"
"ADD SERIES","Sunburn","Sunburn","Image","Image Central","","IMS-0452"
"ADD AUTHORITY","Sunset","","Image","Image Central","","IMA-0473"
"ADD SERIES","Sunset","Sunset","Image","Image Central","","IMS-0453"
"ADD AUTHORITY","Sunstone","","Image","Image Central","","IMA-0474"
"ADD SERIES","Sunstone","Sunstone","Image","Image Central","","IMS-0454"
"ADD AUTHORITY","Super Dinosaur","","Image","Skybound","","IMA-0475"
"REPAIR SERIES","Super Dinosaur","Super Dinosaur","Image","Skybound","","SER-01165"
"ADD AUTHORITY","Supermassive","","Image","Massive-Verse","","IMA-0476"
"REPAIR SERIES","Supermassive","Supermassive","Image","Massive-Verse","","SER-01182"
"ADD AUTHORITY","Superstar","","Image","Gorilla Comics","","IMA-0477"
"ADD SERIES","Superstar","Superstar","Image","Gorilla Comics","","IMS-0455"
"ADD AUTHORITY","Supper Club","","Image","Image Central","","IMA-0478"
"ADD SERIES","Supper Club","Supper Club","Image","Image Central","","IMS-0456"
"ADD AUTHORITY","Supreme","","Image","Extreme Studios / Awesome Comics","","IMA-0479"
"ADD SERIES","Supreme","Supreme","Image","Extreme Studios / Awesome Comics","","IMS-0457"
"ADD AUTHORITY","SWAN SONGS","","Image","Image Central","","IMA-0480"
"ADD SERIES","SWAN SONGS","SWAN SONGS","Image","Image Central","","IMS-0458"
"ADD AUTHORITY","Swing","","Image","Image Central","","IMA-0481"
"ADD SERIES","Swing","Swing","Image","Image Central","","IMS-0459"
"ADD AUTHORITY","SWIPE","","Image","Image Central","","IMA-0482"
"ADD SERIES","SWIPE","SWIPE","Image","Image Central","","IMS-0460"
"ADD SERIES","Witchblade","Switch","Image","Top Cow Productions","","IMS-0461"
