change,id,title,old_parent,new_parent,publisher,type,publishing_line
"REPAIRED","SER-01818","Two-Face","Batman","Two-Face","DC","Series",""
"ADDED","DCA-0019","The Un-Men","","","DC","Series","Vertigo"
"ADDED","DCS-0024","The Un-Men","","The Un-Men","DC","Series","Vertigo"
"ADDED","DCA-0104","Underworld Unleashed","","","DC","Event",""
"REPAIRED","EVT-00114","Underworld Unleashed","DC Universe","Underworld Unleashed","DC","Event",""
"ADDED","DCA-0028","Unfollow","","","DC","Series","Vertigo"
"ADDED","DCS-0035","Unfollow","","Unfollow","DC","Series","Vertigo"
"REPAIRED","SER-DCX-0221","Unknown Soldier","","","DC","Series","Vertigo"
"ADDED","DCS-0026","Unknown Soldier","","Unknown Soldier","DC","Series","Vertigo"
"REPAIRED","CHR-00449","The Unwritten","","","DC","Character","Vertigo"
"ADDED","DCS-0025","The Unwritten: Apocalypse","","The Unwritten","DC","Series","Vertigo"
"ADDED","DCA-0192","The Vigil","","","DC","Series",""
"REPAIRED","EVT-00124","Villains United","Crisis Saga","Infinite Crisis","DC","Event",""
"ADDED","DCA-0197","Voodoo","","","DC","Series",""
"REPAIRED","SER-01375","Voodoo","DC Universe","Voodoo","DC","Series",""
"ADDED","DCA-0075","Wacky Raceland","","","DC","Series","Hanna-Barbera Beyond"
"REPAIRED","SER-01493","Wacky Raceland","DC Universe","Wacky Raceland","DC","Series","Hanna-Barbera Beyond"
"ADDED","DCA-0023","The Wake","","","DC","Series","Vertigo"
"ADDED","DCS-0030","The Wake","","The Wake","DC","Series","Vertigo"
"REPAIRED","SER-01790","Waller vs. Wildstorm","DC Universe","Suicide Squad","DC","Series",""
"ADDED","DCA-0105","War of the Gods","","","DC","Event",""
"REPAIRED","EVT-00111","War of the Gods","DC Universe","War of the Gods","DC","Event",""
"ADDED","DCA-0209","Watchmen","","","DC","Series",""
"REPAIRED","SER-00951","Watchmen","Watchmen (Charlton-derived cast)","Watchmen","DC","Series",""
"REPAIRED","SER-00954","Watchmen","Watchmen Universe","Watchmen","DC","Series",""
"ADDED","DCA-0020","We3","","","DC","Series","Vertigo"
"ADDED","DCS-0027","We3","","We3","DC","Series","Vertigo"
"ADDED","DCS-0072","Welcome to Tranquility","","Tranquility","WildStorm","Series","WildStorm"
"REPAIRED","SER-01793","Wesley Dodds: The Sandman","DC Universe","Sandman (Wesley Dodds, Golden Age)","DC","Series",""
"ADDED","DCA-0058","The Wild Storm","","","WildStorm","Series","WildStorm"
"ADDED","DCS-0076","The Wild Storm","","The Wild Storm","WildStorm","Series","WildStorm"
"ADDED","DCS-0077","The Wild Storm: Michael Cray","","The Wild Storm","WildStorm","Series","WildStorm"
"ADDED","DCA-0055","Wildcore","","","WildStorm","Series","WildStorm"
"ADDED","DCS-0073","Wildcore","","Wildcore","WildStorm","Series","WildStorm"
"ADDED","DCA-0056","Wildsiderz","","","WildStorm","Series","WildStorm"
"ADDED","DCS-0074","Wildsiderz","","Wildsiderz","WildStorm","Series","WildStorm"
"REPAIRED","SER-01670","Wonder Girl","Wonder Woman","Wonder Girl","DC","Series",""
"REPAIRED","SER-00366","Wonder Woman","Huntress","Wonder Woman","DC","Series",""
"REPAIRED","SER-01488","Wonder Woman '77","DC Universe","Wonder Woman","DC","Series",""
"ADDED","DCS-0135","Wonder Woman Historia: The Amazons","","Wonder Woman","DC","Series","Black Label"
"REPAIRED","SER-01610","Wonder Woman: Black & Gold","DC Universe","Wonder Woman","DC","Series",""
"REPAIRED","CHR-00502","Wonder Woman: Dead Earth","","Wonder Woman","DC","Series",""
"REPAIRED","SER-00980","Wonder Woman: Dead Earth","Wonder Woman: Dead Earth","Wonder Woman","DC","Series","Black Label"
"ADDED","DCA-0106","Year of the Villain","","","DC","Event",""
"REPAIRED","EVT-00176","Year of the Villain","DC Universe","Year of the Villain","DC","Event",""
"REPAIRED","SER-01573","Year of the Villain: Hell Arisen","DC Universe","Year of the Villain","DC","Series",""
"ADDED","DCA-0021","Young Liars","","","DC","Series","Vertigo"
"ADDED","DCS-0028","Young Liars","","Young Liars","DC","Series","Vertigo"
"ADDED","DCA-0057","Zealot","","","WildStorm","Series","WildStorm"
"ADDED","DCS-0075","Zealot","","Zealot","WildStorm","Series","WildStorm"
"ADDED","DCA-0107","Zero Hour: Crisis in Time","","","DC","Event",""
"REPAIRED","EVT-00067","Zero Hour: Crisis in Time","Crisis Saga","Zero Hour: Crisis in Time","DC","Event",""
