"Cover title","Type","Parent authority","Marker type","Marker","Start year","End year","Coverage status","Authority ID"
"Venom War: Spider-Man","Event","Venom","era","Fresh Start","2024","2024","Covered","EVT-00234"
"War of the Realms","Event","War of the Realms","era","Fresh Start","2019","2019","Covered","EVT-00047"
"War of the Realms: New Agents of Atlas","Event","War of the Realms","era","Fresh Start","2019","2019","Covered","EVT-00235"
"War of the Realms: Punisher","Event","War of the Realms","era","Fresh Start","2019","2019","Covered","EVT-00236"
"War of the Realms: Uncanny X-Men","Event","War of the Realms","era","Fresh Start","2019","2019","Covered","EVT-00237"
"X of Swords","Event","X of Swords","era","Fresh Start","2020","2020","Covered","EVT-00048"
"X of Swords: Creation","Event","X of Swords","era","Fresh Start","2020","2020","Covered","EVT-00238"
"X of Swords: Destruction","Event","X of Swords","era","Fresh Start","2020","2020","Covered","EVT-00239"
"X of Swords: Stasis","Event","X of Swords","era","Fresh Start","2020","2020","Covered","EVT-00240"
"Star Wars","Series","Star Wars","line","Star Wars","2015","2019","Covered","SER-00727"
"Star Wars","Series","Star Wars","line","Star Wars","2020","2024","Covered","SER-02331"
"Star Wars","Series","Star Wars","line","Star Wars","2025","","Covered","SER-02332"
"Star Wars: Darth Vader","Series","Star Wars","line","Star Wars","2015","2016","Covered","SER-02333"
"Darth Vader","Series","Star Wars","line","Star Wars","2017","2018","Covered","SER-00726"
"Star Wars: Darth Vader","Series","Star Wars","line","Star Wars","2020","2024","Covered","SER-02334"
"Star Wars: Doctor Aphra","Series","Star Wars","line","Star Wars","2016","2019","Covered","SER-00729"
"Star Wars: Doctor Aphra","Series","Star Wars","line","Star Wars","2020","2024","Covered","SER-02335"
"Star Wars: Doctor Aphra - Chaos Agent","Series","Star Wars","line","Star Wars","2025","","Covered","SER-02336"
"Star Wars: Poe Dameron","Series","Star Wars","line","Star Wars","2016","2018","Covered","SER-00730"
"Star Wars: Bounty Hunters","Series","Star Wars","line","Star Wars","2020","2024","Covered","SER-02337"
"Star Wars: The High Republic","Series","Star Wars","line","Star Wars","2021","2022","Covered","SER-00731"
"Star Wars: The High Republic","Series","Star Wars","line","Star Wars","2022","2023","Covered","SER-02338"
"Star Wars: The High Republic","Series","Star Wars","line","Star Wars","2023","2025","Covered","SER-02339"
"Star Wars: The High Republic Adventures","Series","Star Wars","line","Star Wars","2021","2022","Covered","SER-02340"
"Star Wars: The High Republic - Shadows of Starlight","Series","Star Wars","line","Star Wars","2023","2024","Covered","SER-02341"
"Star Wars: High Republic - Fear of the Jedi","Series","Star Wars","line","Star Wars","2025","2025","Covered","SER-02342"
"Star Wars: Darth Maul","Series","Star Wars","line","Star Wars","2017","2017","Covered","SER-02343"
"Star Wars: Darth Maul - Son of Dathomir","Series","Star Wars","line","Star Wars","2014","2014","Covered","SER-02344"
"Star Wars: Darth Vader - Black, White & Red","Series","Star Wars","line","Star Wars","2023","2023","Covered","SER-02345"
"Star Wars: Han Solo","Series","Star Wars","line","Star Wars","2016","2016","Covered","SER-02346"
"Star Wars: Han Solo & Chewbacca","Series","Star Wars","line","Star Wars","2022","2023","Covered","SER-02347"
"Star Wars: Lando","Series","Star Wars","line","Star Wars","2015","2015","Covered","SER-02348"
"Star Wars: Lando - Double or Nothing","Series","Star Wars","line","Star Wars","2018","2018","Covered","SER-02349"
"Star Wars: Princess Leia","Series","Star Wars","line","Star Wars","2015","2015","Covered","SER-02350"
"Star Wars: Obi-Wan","Series","Star Wars","line","Star Wars","2022","2022","Covered","SER-02351"
"Star Wars: Obi-Wan and Anakin","Series","Star Wars","line","Star Wars","2016","2016","Covered","SER-02352"
"Star Wars: Kanan","Series","Star Wars","line","Star Wars","2015","2016","Covered","SER-02353"
"Star Wars: Mace Windu","Series","Star Wars","line","Star Wars","2017","2017","Covered","SER-02354"
"Star Wars: Yoda","Series","Star Wars","line","Star Wars","2022","2023","Covered","SER-02355"
"Star Wars: Thrawn","Series","Star Wars","line","Star Wars","2018","2018","Covered","SER-02356"
"Star Wars: Thrawn Alliances","Series","Star Wars","line","Star Wars","2024","2024","Covered","SER-02357"
"Star Wars: Chewbacca","Series","Star Wars","line","Star Wars","2015","2016","Covered","SER-02358"
"Star Wars: Captain Phasma","Series","Star Wars","line","Star Wars","2017","2017","Covered","SER-02359"
"Star Wars: The Mandalorian","Series","Star Wars","line","Star Wars","2022","2023","Covered","SER-02360"
"Star Wars: The Mandalorian Season 2","Series","Star Wars","line","Star Wars","2023","2024","Covered","SER-02361"
"Star Wars: Ahsoka","Series","Star Wars","line","Star Wars","2024","2025","Covered","SER-02362"
"Star Wars: The Rise of Kylo Ren","Series","Star Wars","line","Star Wars","2019","2020","Covered","SER-02363"
"Star Wars: The Fall of Kylo Ren","Series","Star Wars","line","Star Wars","2026","2026","Covered","SER-02364"
"Star Wars: War of the Bounty Hunters","Series","Star Wars","line","Star Wars","2021","2021","Covered","SER-02365"
"Star Wars: Crimson Reign","Series","Star Wars","line","Star Wars","2021","2022","Covered","SER-02366"
"Star Wars: Hidden Empire","Series","Star Wars","line","Star Wars","2022","2023","Covered","SER-02367"
"Star Wars: Dark Droids","Series","Star Wars","line","Star Wars","2023","2024","Covered","SER-02368"
"Star Wars: Revelations","Series","Star Wars","line","Star Wars","2022","2024","Covered","SER-02369"
"Star Wars: Empire Ascendant","Series","Star Wars","line","Star Wars","2019","2019","Covered","SER-02370"
"Star Wars: Age of Republic","Series","Star Wars","line","Star Wars","2018","2019","Covered","SER-02371"
"Star Wars: Age of Rebellion","Series","Star Wars","line","Star Wars","2019","2019","Covered","SER-02372"
"Star Wars: Age of Resistance","Series","Star Wars","line","Star Wars","2019","2019","Covered","SER-02373"
"Star Wars: TIE Fighter","Series","Star Wars","line","Star Wars","2019","2019","Covered","SER-02374"
"Star Wars: Target Vader","Series","Star Wars","line","Star Wars","2019","2019","Covered","SER-02375"
"Star Wars: Galaxy's Edge","Series","Star Wars","line","Star Wars","2019","2019","Covered","SER-02376"
"Star Wars: Galaxy's Edge - Echoes of the Empire","Series","Star Wars","line","Star Wars","2026","2026","Covered","SER-02377"
"Amazing Mary Jane","Series","Spider-Man","era","","2019","2020","Covered","SER-02412"
"Atlantis Attacks","Series","Marvel Universe","era","","2020","2021","Covered","EVT-00033"
"Black Cat","Series","Spider-Man","era","","2019","2020","Covered","SER-02382"
"Black Widow","Series","Black Widow","era","","2020","2022","Covered","SER-02413"
"Champions","Series","Champions","era","","2020","2021","Covered","SER-02414"
"Doctor Doom","Series","Fantastic Four","era","","2019","2020","Covered","SER-02415"
"Falcon & Winter Soldier","Series","Falcon","era","","2020","2021","Covered","SER-02416"
"Fantastic Four: Antithesis","Series","Fantastic Four","era","","2020","2020","Covered","SER-02417"
"Guardians of the Galaxy","Series","Guardians of the Galaxy","era","","2020","2021","Covered","SER-02418"
"Hawkeye: Freefall","Series","Hawkeye","era","","2020","2020","Covered","SER-02419"
"Iron Man","Series","Iron Man","era","","2020","2022","Covered","SER-02420"
"Maestro","Series","Hulk","era","","2020","2020","Covered","SER-01077"
"Marvels X","Series","Marvels / Prestige Format","era","","2020","2020","Covered","SER-02421"
"Ravencroft","Series","Spider-Man","era","","2020","2020","Covered","SER-02422"
"Shang-Chi","Series","Shang-Chi","era","","2020","2020","Covered","SER-02423"
"Strange Academy","Series","Doctor Strange","era","","2020","2022","Covered","SER-01107"
"Symbiote Spider-Man: Alien Reality","Series","Spider-Man","era","","2019","2020","Covered","SER-02424"
"Thor","Series","Thor","era","","2020","2023","Covered","SER-02425"
"The Union","Series","Marvel Universe","era","","2020","2021","Covered","SER-02426"
"U.S.Agent","Series","USAgent","era","","2020","2021","Covered","SER-02427"
"Amazing Fantasy","Series","Marvel Universe","era","","2021","2021","Covered","SER-00696"
"Amazing Spider-Man","Series","Spider-Man","era","","2021","2022","Covered","SER-02428"
"Avengers Forever","Series","Avengers","era","","2021","2023","Covered","SER-02429"
"Beta Ray Bill","Series","Beta Ray Bill","era","","2021","2021","Covered","CHR-00045"
"Black Knight: Curse of the Ebony Blade","Series","Avengers","era","","2021","2021","Covered","SER-02430"
"Captain America/Iron Man","Series","Captain America","era","","2021","2022","Covered","SER-02431"
"Dark Ages","Series","Marvel Universe","era","","2021","2022","Covered","SER-02432"
"Darkhawk","Series","Darkhawk","era","","2021","2022","Covered","SER-02433"
"Death of Doctor Strange","Series","Doctor Strange","era","","2021","2022","Covered","SER-02434"
"Defenders","Series","Defenders","era","","2021","2022","Covered","SER-02435"
"Eternals","Series","Marvel Universe","era","","2021","2022","Covered","SER-02436"
"Extreme Carnage","Series","Carnage","era","","2021","2021","Covered","SER-02437"
"Fantastic Four: Life Story","Series","Fantastic Four","era","","2021","2022","Covered","SER-02438"
"Gamma Flight","Series","Hulk","era","","2021","2021","Covered","SER-02439"
"Iron Fist: Heart of the Dragon","Series","Iron Fist","era","","2021","2021","Covered","SER-02440"
"Kang the Conqueror","Series","Avengers","era","","2021","2022","Covered","SER-02441"
"Maestro: War and Pax","Series","Hulk","era","","2021","2021","Covered","SER-01078"
"Miles Morales: Spider-Man","Series","Miles Morales","era","","2018","2022","Covered","SER-02442"
"Moon Knight","Series","Moon Knight","era","","2021","2024","Covered","SER-02443"
"Non-Stop Spider-Man","Series","Spider-Man","era","","2021","2021","Covered","SER-02444"
"Reptil","Series","Marvel Universe","era","","2021","2021","Covered","SER-02445"
"Silk","Series","Silk","era","","2021","2021","Covered","SER-02446"
"Sinister War","Series","Spider-Man","era","","2021","2021","Covered","SER-02447"
"Spider-Woman","Series","Spider-Woman (Jessica Drew)","era","","2020","2023","Covered","SER-02448"
"The United States of Captain America","Series","Captain America","era","","2021","2021","Covered","SER-02449"
"Venom","Series","Venom","era","","2021","2024","Covered","SER-02450"
"Amazing Spider-Man","Series","Spider-Man","era","","2022","2025","Covered","SER-02451"
"Captain America: Sentinel of Liberty","Series","Captain America","era","","2022","2023","Covered","SER-02452"
"Captain America: Symbol of Truth","Series","Falcon","era","","2022","2023","Covered","SER-02453"
"Carnage","Series","Carnage","era","","2022","2023","Covered","SER-02454"
"Damage Control","Series","Marvel Universe","era","","2022","2022","Covered","SER-02455"
"Daredevil","Series","Daredevil","era","","2022","2023","Covered","SER-02456"
"Deadpool","Series","Deadpool","era","","2022","2024","Covered","SER-02457"
"Defenders: Beyond","Series","Defenders","era","","2022","2022","Covered","SER-02458"
"Doctor Strange: Nexus of Nightmares","Series","Doctor Strange","era","","2022","2022","Covered","SER-02459"
"Edge of Spider-Verse","Series","Spider-Verse","era","","2022","2022","Covered","SER-00693"
"Fantastic Four","Series","Fantastic Four","era","","2022","2025","Covered","SER-02460"
"Ghost Rider","Series","Ghost Rider","era","","2022","2024","Covered","SER-02461"
"Gold Goblin","Series","Spider-Man","era","","2022","2023","Covered","SER-02462"
"Hulk","Series","Hulk","era","","2021","2023","Covered","CHR-00187"
"Iron Cat","Series","Iron Man","era","","2022","2022","Covered","SER-02463"
"Midnight Suns","Series","Marvel Universe","era","","2022","2023","Covered","SER-02464"
"Miracleman: The Silver Age","Series","Marvelman / Miracleman","era","","2022","2024","Covered","SER-02465"
"Monica Rambeau: Photon","Series","Captain Marvel (Carol Danvers)","era","","2022","2023","Covered","SER-02466"
"Namor: Conquered Shores","Series","Namor the Sub-Mariner","era","","2022","2023","Covered","SER-02467"
"New Fantastic Four","Series","Fantastic Four","era","","2022","2022","Covered","SER-02468"
"Punisher","Series","Punisher","era","","2022","2023","Covered","SER-02469"
"Savage Avengers","Series","Avengers","era","","2022","2023","Covered","SER-02470"
"Secret Invasion","Series","Secret Invasion","era","","2022","2023","Covered","SER-02471"
"She-Hulk","Series","She-Hulk","era","","2022","2024","Covered","SER-02472"
"Spider-Gwen: Gwenverse","Series","Spider-Gwen / Ghost-Spider","era","","2022","2022","Covered","SER-02473"
"Spider-Man","Series","Spider-Man","era","","2022","2024","Covered","CHR-00378"
"Strange","Series","Doctor Strange","era","","2022","2023","Covered","SER-02474"
"Thunderbolts","Series","Thunderbolts","era","","2022","2022","Covered","SER-02475"
"Venom: Lethal Protector","Series","Venom","era","","2022","2022","Covered","SER-00928"
"Wolverine: Patch","Series","Wolverine","era","","2022","2022","Covered","SER-02476"
"X-Men '92: House of XCII","Series","X-Men","era","","2022","2022","Covered","SER-02477"
"Avengers","Series","Avengers","era","","2023","2025","Covered","TEM-00002"
"Avengers Inc.","Series","Avengers","era","","2023","2024","Covered","SER-02478"
"Black Panther","Series","Black Panther","era","","2023","2024","Covered","SER-02479"
"Captain America","Series","Captain America","era","","2023","2024","Covered","SER-02480"
"Captain Marvel","Series","Captain Marvel (Carol Danvers)","era","","2023","2024","Covered","SER-02481"
"Carnage","Series","Carnage","era","","2023","2024","Covered","SER-02482"
"Daredevil","Series","Daredevil","era","","2023","2025","Covered","SER-02483"
"Doctor Strange","Series","Doctor Strange","era","","2023","2024","Covered","SER-02484"
"G.O.D.S.","Series","Marvel Universe","era","","2023","2024","Covered","SER-02485"
"Guardians of the Galaxy","Series","Guardians of the Galaxy","era","","2023","2023","Covered","SER-02486"
"Hallows' Eve","Series","Spider-Man","era","","2023","2023","Covered","SER-02487"
"Immortal Thor","Series","Thor","era","","2023","2025","Covered","SER-02488"
"Incredible Hulk","Series","Hulk","era","","2023","2025","Covered","SER-02489"
"Invincible Iron Man","Series","Iron Man","era","","2022","2024","Covered","SER-02490"
"Marvel Unleashed","Series","Marvel Universe","era","","2023","2023","Covered","SER-02491"
"Miles Morales: Spider-Man","Series","Miles Morales","era","","2022","2025","Covered","SER-02442"
"Moon Knight: City of the Dead","Series","Moon Knight","era","","2023","2023","Covered","SER-02492"
"Punisher","Series","Punisher","era","","2023","2024","Covered","SER-02493"
"Scarlet Witch","Series","Vision & Scarlet Witch","era","","2023","2024","Covered","SER-02494"
"Sensational She-Hulk","Series","She-Hulk","era","","2023","2024","Covered","SER-02495"
"Silver Surfer: Rebirth Legacy","Series","Silver Surfer","era","","2023","2023","Covered","SER-02496"
"Spider-Boy","Series","Spider-Man","era","","2023","2025","Covered","SER-02497"
"Spider-Gwen: Smash","Series","Spider-Gwen / Ghost-Spider","era","","2023","2024","Covered","SER-02498"
"Spider-Man: India","Series","Spider-Man","era","","2023","2023","Covered","SER-02499"
"Superior Spider-Man","Series","Spider-Man","era","","2023","2024","Covered","SER-02500"
"Thanos","Series","Thanos","era","","2023","2024","Covered","SER-02501"
"Venom: Lethal Protector II","Series","Venom","era","","2023","2023","Covered","SER-02502"
"White Widow","Series","Black Widow","era","","2023","2024","Covered","SER-02503"
"Avengers: Twilight","Series","Avengers","era","","2024","2024","Covered","SER-02504"
"Blood Hunters","Series","Marvel Universe","era","","2024","2024","Covered","SER-02505"
"Daredevil: Woman Without Fear","Series","Daredevil","era","","2024","2024","Covered","SER-02506"
"Deadpool","Series","Deadpool","era","","2024","2025","Covered","SER-02507"
"Dazzler","Series","Dazzler","era","","2024","2025","Covered","SER-02508"
"Doom","Series","Fantastic Four","era","","2024","2024","Covered","SER-02509"
"Ghost Rider: Final Vengeance","Series","Ghost Rider","era","","2024","2024","Covered","SER-02510"
"Hellverine","Series","Wolverine","era","","2024","2025","Covered","SER-02511"
"Kid Venom","Series","Venom","era","","2024","2025","Covered","SER-02512"
"Namor","Series","Namor the Sub-Mariner","era","","2024","2025","Covered","SER-02513"
"Phases of the Moon Knight","Series","Moon Knight","era","","2024","2025","Covered","SER-02514"
"Scarlet Witch","Series","Vision & Scarlet Witch","era","","2024","2025","Covered","SER-02494"
"Spider-Gwen: The Ghost-Spider","Series","Spider-Gwen / Ghost-Spider","era","","2024","2025","Covered","SER-02515"
"Spider-Society","Series","Spider-Verse","era","","2024","2024","Covered","SER-02516"
"The Spectacular Spider-Men","Series","Spider-Man","era","","2024","2025","Covered","SER-02517"
"Venomverse Reborn","Series","Venom","era","","2024","2024","Covered","SER-02518"
"Werewolf by Night: Red Band","Series","Marvel Horror Line","era","","2024","2025","Covered","SER-02519"
"What If...? Venom","Series","Venom","era","","2024","2024","Covered","SER-02520"
"All-New Venom","Series","Venom","era","","2024","2025","Covered","SER-02521"
"Eddie Brock: Carnage","Series","Carnage","era","","2025","2025","Covered","SER-02522"
"Red Hulk","Series","Hulk","era","","2025","2026","Covered","SER-02523"
"New Avengers","Series","Avengers","era","","2025","2026","Covered","SER-02524"
"Spider-Girl","Series","Spider-Man","era","","2025","2026","Covered","SER-02525"
"Spider-Man & Wolverine","Series","Spider-Man","era","","2025","2026","Covered","SER-02526"
"Amazing Spider-Man","Series","Spider-Man","era","","2025","","Covered","SER-02378"
"Amazing Spider-Man: Spider-Versity","Series","Spider-Man","era","","2026","2026","Covered","SER-02379"
"Avengers: Armageddon","Series","Avengers","era","","2026","2026","Covered","SER-02380"
"Bishop","Series","X-Men","era","","2026","2026","Covered","SER-02381"
"Black Cat","Series","Spider-Man","era","","2025","","Covered","SER-02382"
"Captain America","Series","Captain America","era","","2025","","Covered","SER-02383"
"Captain Marvel: Dark Past","Series","Captain Marvel (Carol Danvers)","era","","2026","2026","Covered","SER-02384"
"Civil War: Unmasked","Series","Civil War","era","","2026","2026","Covered","SER-02385"
"Daredevil","Series","Daredevil","era","","2026","","Covered","SER-02386"
"Doctor Strange","Series","Doctor Strange","era","","2025","2026","Covered","SER-02387"
"DoomQuest","Series","Fantastic Four","era","","2026","2026","Covered","SER-02388"
"Fantastic Four","Series","Fantastic Four","era","","2025","","Covered","SER-02389"
"Gambit: Wanted","Series","Gambit","era","","2026","2026","Covered","SER-02390"
"Generation X-23","Series","X-23 / Wolverine (Laura Kinney)","era","","2026","","Covered","SER-02391"
"Infernal Hulk","Series","Hulk","era","","2025","2026","Covered","SER-02392"
"Inglorious X-Force","Series","X-Men","era","","2026","","Covered","SER-02393"
"Iron Man","Series","Iron Man","era","","2026","","Covered","SER-02394"
"Jeff the Land Shark: Superstar","Series","Marvel Universe","era","","2026","2026","Covered","SER-02395"
"Marc Spector: Moon Knight","Series","Moon Knight","era","","2026","","Covered","SER-02396"
"Mortal Thor","Series","Thor","era","","2025","","Covered","SER-02397"
"Punisher","Series","Punisher","era","","2026","","Covered","SER-02398"
"Queen in Black","Series","Venom","era","","2026","2026","Covered","SER-02399"
"Queen in Black: Defenders of Light and Dark","Series","Venom","era","","2026","2026","Covered","SER-02400"
"Sorcerer Supreme","Series","Doctor Strange","era","","2025","2026","Covered","SER-02401"
"Spectacular Spider-Man: Brand New Day","Series","Spider-Man","era","","2026","2026","Covered","SER-02402"
"Spider-Man: Long Way Home","Series","Spider-Man","era","","2026","2026","Covered","SER-02403"
"Uncanny X-Men","Series","X-Men","era","","2024","","Covered","SER-02404"
"Venom","Series","Venom","era","","2025","2026","Covered","SER-02405"
"Wade Wilson: Deadpool","Series","Deadpool","era","","2026","","Covered","SER-02406"
"Wolverine","Series","Wolverine","era","","2024","","Covered","SER-02407"
"X-Men","Series","X-Men","era","","2024","","Covered","SER-02408"
"X-Men '97: Season 2","Series","X-Men","era","","2026","2026","Covered","SER-02409"
"X-Men: Outback","Series","X-Men","era","","2026","2026","Covered","SER-02410"
"X-Men United","Series","X-Men","era","","2026","","Covered","SER-02411"
